('Stockfish 17.1 64-bit 8CPU', 'https://github.com/official-stockfish/Stockfish', 'Marco Costalba, Joona Kiiski, Stockfish team members', '3817', 'saved_engines\\Stockfish 17.1 64-bit 8CPU\\stockfish\\stockfish-windows-x86-64.exe', '1', '2024-03-30T17:18:38Z', 'C++')
('Stockfish 17 64-bit 8CPU', 'https://github.com/official-stockfish/Stockfish', 'Marco Costalba, Joona Kiiski, Stockfish team members', '3817', 'saved_engines\\Stockfish 17 64-bit 8CPU\\stockfish\\stockfish-windows-x86-64-avx2.exe', '1', '2024-02-24T17:18:38Z', 'C++')
('Stockfish 16 64-bit 8CPU', 'https://github.com/official-stockfish/Stockfish', 'Marco Costalba, Joona Kiiski, Stockfish team members', '3814', 'saved_engines\\Stockfish 16 64-bit 8CPU\\stockfish\\stockfish-windows-x86-64-avx2.exe', '1', '2023-06-30T19:16:09Z', 'C++')
('Stockfish 16.1 64-bit 8CPU', 'https://github.com/official-stockfish/Stockfish', 'Marco Costalba, Joona Kiiski, Stockfish team members', '3813', 'saved_engines\\Stockfish 16.1 64-bit 8CPU\\stockfish\\stockfish-windows-x86-64-avx2.exe', '1', '2024-02-24T17:18:38Z', 'C++')
('Obsidian 14.0 64-bit 8CPU', 'https://github.com/gab8192/Obsidian', 'Gabriele Lombardo', '3788', 'saved_engines\\Obsidian 14.0 64-bit 8CPU\\Obsidian140-avx2-pext.exe', '2', '2024-10-22T21:00:07Z', 'C++')
('Berserk 13 64-bit 8CPU', 'https://github.com/jhonnold/berserk', 'Jay Honnold (USA)', '3785', 'saved_engines\\Berserk 13 64-bit 8CPU\\berserk-13-avx2-pext.exe', '3', '2024-03-31T05:10:21Z', 'C')
('Alexandria 7.1.0 64-bit 8CPU', 'https://github.com/PGG106/Alexandria', '', '3779', 'saved_engines\\Alexandria 7.1.0 64-bit 8CPU\\Alexandria-7.1-avx2.exe', '4', '2024-10-26T21:38:41Z', 'C++')
('Berserk 12 64-bit 8CPU', 'https://github.com/jhonnold/berserk', 'Jay Honnold (USA)', '3775', 'saved_engines\\Berserk 12 64-bit 8CPU\\berserk-12-x64-avx2-pext.exe', '4', '2023-10-26T00:24:55Z', 'C')
('Obsidian 13.0 64-bit 8CPU', 'https://github.com/gab8192/Obsidian', 'Gabriele Lombardo', '3775', 'saved_engines\\Obsidian 13.0 64-bit 8CPU\\Obsidian130-avx2-pext.exe', '4', '2024-07-01T13:48:02Z', 'C++')
('Caissa 1.21 64-bit 8CPU', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3772', 'saved_engines\\Caissa 1.21 64-bit 8CPU\\caissa-1.21-x64-avx2-bmi2.exe', '5', '2024-10-27T13:48:05Z', 'C++')
('PlentyChess 2.1.0 64-bit 8CPU', 'https://github.com/Yoshie2000/PlentyChess', 'Patrick Leonhardt (Germany)', '3770', 'saved_engines\\PlentyChess 2.1.0 64-bit 8CPU\\PlentyChess-2.1.0-avx2.exe', '6', '2024-07-02T09:28:27Z', 'C++')
('Lizard 11.2 64-bit 8CPU', 'https://github.com/liamt19/Lizard', 'Liam McGuire (USA)', '3769', 'saved_engines\\Lizard 11.2 64-bit 8CPU\\Lizard-11_2-win-512.exe', '7', '2025-01-08T21:06:08Z', 'C#')
('Caissa 1.20 64-bit 8CPU', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3767', 'saved_engines\\Caissa 1.20 64-bit 8CPU\\caissa-1.20-x64-avx2-bmi2.exe', '7', '2024-07-28T09:00:07Z', 'C++')
('PlentyChess 3.0.1 64-bit 8CPU', 'https://github.com/Yoshie2000/PlentyChess', 'Patrick Leonhardt (Germany)', '3767', 'saved_engines\\PlentyChess 3.0.1 64-bit 8CPU\\PlentyChess-3.0.0-avx2.exe', '7', '2024-11-21T08:53:50Z', 'C++')
('Obsidian 12.0 64-bit 8CPU', 'https://github.com/gab8192/Obsidian', 'Gabriele Lombardo', '3766', 'saved_engines\\Obsidian 12.0 64-bit 8CPU\\Obsidian120-avx2-pext.exe', '8', '2024-04-11T12:31:24Z', 'C++')
('Alexandria 7.0.0 64-bit 8CPU', 'https://github.com/PGG106/Alexandria', '', '3765', 'saved_engines\\Alexandria 7.0.0 64-bit 8CPU\\Alexandria-7.0-avx2.exe', '8', '2024-05-25T18:22:32Z', 'C++')
('Starzix 6.0 64-bit 8CPU', 'https://github.com/zzzzz151/Starzix', '', '3764', 'saved_engines\\Starzix 6.0 64-bit 8CPU\\Starzix-6.0-avx2.exe', '9', '2024-10-24T16:09:29Z', 'C++')
('Caissa 1.19 64-bit 8CPU', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3763', 'saved_engines\\Caissa 1.19 64-bit 8CPU\\caissa-1.19-x64-avx2-bmi2.exe', '9', '2024-06-23T19:31:34Z', 'C++')
('RubiChess 20240817 64-bit 8CPU', 'https://github.com/Matthies/RubiChess', 'Andreas Matthies (Germany)', '3763', 'saved_engines\\RubiChess 20240817 64-bit 8CPU\\RubiChess-20240817\\windows\\RubiChess-20240817_x86-64-avx2.exe', '10', '2024-08-17T20:18:57Z', 'C')
('Obsidian 11.0 64-bit 8CPU', 'https://github.com/gab8192/Obsidian', 'Gabriele Lombardo', '3760', 'saved_engines\\Obsidian 11.0 64-bit 8CPU\\Obsidian110-avx2-pext.exe', '10', '2024-03-02T23:33:56Z', 'C++')
('Caissa 1.18 64-bit 8CPU', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3757', 'saved_engines\\Caissa 1.18 64-bit 8CPU\\caissa-1.18-x64-avx2-bmi2.exe', '10', '2024-04-02T13:52:32Z', 'C++')
('PlentyChess 2.0.0 64-bit 8CPU', 'https://github.com/Yoshie2000/PlentyChess', 'Patrick Leonhardt (Germany)', '3757', 'saved_engines\\PlentyChess 2.0.0 64-bit 8CPU\\PlentyChess-2.0.0-avx2.exe', '10', '2024-06-12T08:11:12Z', 'C++')
('Lizard 11.1 64-bit 8CPU', 'https://github.com/liamt19/Lizard', 'Liam McGuire (USA)', '3756', 'saved_engines\\Lizard 11.1 64-bit 8CPU\\Lizard-11_1-win-aot-v1.exe', '10', '2024-11-11T01:28:51Z', 'C#')
('Viridithas 15.0.0 64-bit 8CPU', 'https://github.com/cosmobobak/virtue', 'Cosmo Bobak (Scotland)', '3756', 'saved_engines\\Viridithas 15.0.0 64-bit 8CPU\\viridithas-15.0.0-win-x86-64-v1.exe', '11', '2024-10-13T19:40:37Z', 'Rust')
('Caissa 1.17 64-bit 8CPU', 'https://github.com/Witek902/Caissa', 'Michal Witanowski (Poland)', '3755', 'saved_engines\\Caissa 1.17 64-bit 8CPU\\caissa-1.17-x64-avx2-bmi2.exe', '11', '2024-02-12T13:35:10Z', 'C++')
('Clover 8.0 64-bit 8CPU', 'https://github.com/lucametehau/CloverEngine', 'Luca Metehau (Romania)', '3754', 'saved_engines\\Clover 8.0 64-bit 8CPU\\Clover.8.0-avx2.exe', '12', '2024-09-02T23:34:24Z', 'C++')
('Obsidian 10.0 64-bit 8CPU', 'https://github.com/gab8192/Obsidian', 'Gabriele Lombardo', '3754', 'saved_engines\\Obsidian 10.0 64-bit 8CPU\\Obsidian10-avx2-pext.exe', '12', '2024-01-16T23:17:16Z', 'C++')
('PlentyChess 1.0.0 64-bit 8CPU', 'https://github.com/Yoshie2000/PlentyChess', 'Patrick Leonhardt (Germany)', '3754', 'saved_engines\\PlentyChess 1.0.0 64-bit 8CPU\\PlentyChess-1.0.0-avx2.exe', '12', '2024-04-01T20:08:08Z', 'C++')
('Clover 7.1 64-bit 8CPU', 'https://github.com/lucametehau/CloverEngine', 'Luca Metehau (Romania)', '3753', 'saved_engines\\Clover 7.1 64-bit 8CPU\\Clover.7.1-avx2.exe', '12', '2024-08-11T19:16:12Z', 'C++')
('RubiChess 20240112 64-bit 8CPU', 'https://github.com/Matthies/RubiChess', 'Andreas Matthies (Germany)', '3753', 'saved_engines\\RubiChess 20240112 64-bit 8CPU\\RubiChess-20240112\\windows\\RubiChess-20240112_x86-64-avx2.exe', '12', '2024-01-12T22:56:31Z', 'C')
('Clover 8.1 64-bit 8CPU', 'https://github.com/lucametehau/CloverEngine', 'Luca Metehau (Romania)', '3751', 'saved_engines\\Clover 8.1 64-bit 8CPU\\Clover.8.1-avx2.exe', '12', '2024-12-03T11:20:32Z', 'C++')
('Lizard 10.5 64-bit 8CPU', 'https://github.com/liamt19/Lizard', 'Liam McGuire (USA)', '3751', 'saved_engines\\Lizard 10.5 64-bit 8CPU\\Lizard-10_5-win-aot-v2.exe', '12', '2024-07-13T20:03:49Z', 'C#')
